Algorithm: SSSP
Source: 0

Vertex	Distance
0	0
1	17
2	19
3	9
4	12
5	10
6	12
7	6
8	7
9	10
10	4
11	12
12	6
13	8
14	9
15	8
16	8
17	8
18	10
19	12
20	9
21	12
22	8
23	13
24	9
25	11
26	10
27	13
28	16
29	13
30	12
31	11
32	15
33	13
34	12
35	14
36	15
37	14
38	12
39	15
40	16
41	14
42	15
43	18
44	17
45	15
46	18
47	19
48	18
49	17
50	21
51	22
52	21
53	24
54	18
55	19
56	19
57	19
58	20
59	24
60	20
61	22
62	21
63	21
64	20
65	21
66	21
67	21
68	25
69	22
70	22
71	23
72	23
73	22
74	25
75	23
76	23
77	26
78	27
79	26
80	24
81	25
82	28
83	26
84	24
85	24
86	31
87	30
88	28
89	25
90	25
91	26
92	33
93	31
94	27
95	27
96	28
97	26
98	31
99	32
100	26
101	27
102	29
103	29
104	31
105	31
106	34
107	28
108	28
109	31
110	32
111	31
112	30
113	32
114	34
115	31
116	33
117	31
118	37
119	35
120	34
121	34
122	34
123	33
124	33
125	39
126	39
127	36
128	37
129	35
130	38
131	35
132	38
133	37
134	36
135	38
136	42
137	39
138	37
139	36
140	37
141	37
142	40
143	39
144	38
145	38
146	40
147	40
148	46
149	41
150	41
151	43
152	41
153	39
154	41
155	43
156	44
157	43
158	44
159	42
160	45
161	42
162	43
163	42
164	44
165	44
166	44
167	45
168	44
169	45
170	46
171	45
172	43
173	44
174	46
175	45
176	47
177	45
178	45
179	49
180	47
181	45
182	52
183	46
184	48
185	48
186	49
187	48
188	46
189	48
190	46
191	49
192	53
193	50
194	54
195	52
196	50
197	49
198	50
199	51
200	56
201	52
202	51
203	54
204	52
205	53
206	52
207	53
208	53
209	52
210	54
211	55
212	60
213	57
214	54
215	55
216	55
217	57
218	58
219	57
220	58
221	61
222	58
223	61
224	60
225	58
226	59
227	59
228	59
229	62
230	60
231	59
232	59
233	61
234	63
235	60
236	64
237	61
238	60
239	61
240	62
241	65
242	63
243	61
244	63
245	68
246	62
